TenantId,AccountName,AccountUPN,AccountSID,AccountObjectId,AccountTenantId,AccountDisplayName,GivenName,Surname,OnPremisesAccountObjectId,OnPremisesExtensionAttributes,OnPremisesDistinguishedName,Tags,AccountCreationTime [UTC],InvestigationPriority,InvestigationPriorityPercentile,RiskLevel,RiskState,BlastRadius,GroupMembership,AssignedRoles,Department,EmployeeId,JobTitle,MailAddress,AdditionalMailAddresses,Manager,StreetAddress,City,CompanyName,Country,State,Phone,IsAccountEnabled,IsServiceAccount,UserType,IsMFARegistered,SourceSystem,ChangeSource
029c55c8-a7ec-418e-b741-de9d24add5fa,sch585,sch585@woodgrove.ms,,eef0ad77-61c4-4fd9-873b-64fd81599684,536279f6-15cc-45f2-be2d-61e352b51eef,Sandeep Chaudhari,Sandeep,Chaudhari,eef0ad77-61c4-4fd9-873b-64fd81599684,,,,"11/20/2024, 1:00:25.000 AM",,,,,,"[""NOAM_Users"",""All Woodgrove Users"",""Read_Only_M365"",""Developer Department"",""MED Test Group "",""Woodgrove"",""All Users"",""DevOps"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Read_Only_Users_SG"",""Employees"",""Woodgrove Project NEO"",""Redmond Devs"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader""]",Developer,613601214,Developer I,sch585@woodgrove.ms,,,Read only,Redmond,Woodgrove,US,WA,859-555-3149,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,mni316,mni316@woodgrove.ms,,99d1f5c0-ee26-41dd-b45c-c78d24447ac4,536279f6-15cc-45f2-be2d-61e352b51eef,Marfuga Nilsson,Marfuga,Nilsson,99d1f5c0-ee26-41dd-b45c-c78d24447ac4,,,,"11/20/2024, 1:00:38.000 AM",,,,,,"[""NOAM_Users"",""All Woodgrove Users"",""Read_Only_M365"",""MED Test Group "",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Read_Only_Users_SG"",""Talent Sourcing Department"",""Employees"",""Woodgrove Project NEO"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader""]",Talent Sourcing,1366156635,Senior Talent Sourcing,mni316@woodgrove.ms,,,Read only,Tokyo,Woodgrove,JP,,400-555-9148,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,jabi56,jabi56@woodgrove.ms,,64fb2c3b-4caa-47b1-931d-72cb864ebfa6,536279f6-15cc-45f2-be2d-61e352b51eef,Jausma Bite,Jausma,Bite,64fb2c3b-4caa-47b1-931d-72cb864ebfa6,,,,"4/11/2023, 2:22:35.000 PM",,,None,Dismissed,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""NestedGroup"",""Talent Sourcing Department"",""Employees"",""MS_DEMO_USERS_O365"",""Azure ATP contosodemos2 Users"",""Woodgrove Project NEO"",""MS_DEMO_USERS_Woodgrove-SG"",""Redmond Devs"",""Woodgrove-FTE"",""Information Workers"",""CloudKnox Admins""]","[""Global Reader""]",Talent Sourcing,1291613319,Principal Talent Sourcing,jabi56@woodgrove.ms,"[""jorlop@microsoft.com""]",Naomi Hathaway (Corp),1 Microsoft Way ,Redmond,Woodgrove,US,WA,792-555-1133,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,gadi72,gadi72@woodgrove.ms,,3812ef8c-2acf-4372-a76d-9709d7747b60,536279f6-15cc-45f2-be2d-61e352b51eef,Gabriel Diaz,Gabriel,Diaz,3812ef8c-2acf-4372-a76d-9709d7747b60,,,,"10/8/2024, 8:11:31.000 PM",,,,,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Talent Sourcing Department"",""Employees"",""MS_DEMO_USERS_O365"",""Azure ATP contosodemos2 Users"",""Woodgrove Project NEO"",""MS_DEMO_USERS_Woodgrove-SG"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader""]",Talent Sourcing,1199176534,Senior Talent Sourcing,gadi72@woodgrove.ms,,,1 Microsoft Way,Atltanta,Woodgrove,US,GA,671-555-1704,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,noer62,noer62@woodgrove.ms,,f37b526d-2f09-49f9-81ec-09dc01e1df57,536279f6-15cc-45f2-be2d-61e352b51eef,Noa Ervello,Noa,Ervello,f37b526d-2f09-49f9-81ec-09dc01e1df57,,,,"5/5/2023, 9:46:50.000 PM",,,None,Remediated,Low,"[""NOAM_Users"",""All Woodgrove Users"",""MED Test Group "",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Finance Department"",""AutoAssignment_e63df43f-643c-4239-8eae-34d423d48188"",""Employees"",""MS_DEMO_USERS_O365"",""Azure ATP contosodemos2 Users"",""Woodgrove Project NEO"",""MS_DEMO_USERS_Woodgrove-SG"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader"",""Service Support Administrator""]",Finance,1556290982,Senior Finance,noer62@woodgrove.ms,,Sloane Girvan (Corp),1 Microsoft Way,London,Woodgrove,GB,UK,434-555-8318,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,dte383,dte383@woodgrove.ms,,37d4bbd5-68a0-4114-8c24-766a2921a78b,536279f6-15cc-45f2-be2d-61e352b51eef,Dovydas Termechik,Dovydas,Termechik,37d4bbd5-68a0-4114-8c24-766a2921a78b,,,,"9/27/2024, 12:21:49.000 AM",,,,,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Read_Only_M365"",""MED Test Group "",""Woodgrove"",""Customer XP Department"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Read_Only_Users_SG"",""Employees"",""Woodgrove Project NEO"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader""]",Customer XP,962325327,Customer XP I,dte383@woodgrove.ms,,,Read only,Nairobi,Woodgrove,KE,,780-555-4627,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,mika73,mika73@woodgrove.ms,,b9d8e87e-2ae5-42bd-abb4-1ed55b27bbe7,536279f6-15cc-45f2-be2d-61e352b51eef,Mina Kallas,Mina,Kallas,b9d8e87e-2ae5-42bd-abb4-1ed55b27bbe7,,,,"10/27/2024, 3:13:21.000 PM",,,,,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Read_Only_M365"",""MED Test Group "",""Woodgrove"",""All Users"",""wg_role_entra_SecurityAdmin"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Read_Only_Users_SG"",""Talent Sourcing Department"",""Employees"",""Woodgrove Project NEO"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader"",""Security Administrator""]",Talent Sourcing,1691162184,Talent Sourcing I,mika73@woodgrove.ms,,,Read only,Atltanta,Woodgrove,US,GA,905-555-9185,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,vika61,vika61@woodgrove.ms,,a925df26-fc60-46fc-9b22-17722779fc91,536279f6-15cc-45f2-be2d-61e352b51eef,Victoria Kashapov,Victoria,Kashapov,a925df26-fc60-46fc-9b22-17722779fc91,,,,"9/4/2024, 6:23:37.000 PM",,,None,Dismissed,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Read_Only_M365"",""MED Test Group "",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Read_Only_Users_SG"",""Employees"",""Woodgrove Project NEO"",""Woodgrove-FTE"",""Information Workers"",""SRE Department""]","[""Global Reader""]",SRE,2127068423,SRE I,vika61@woodgrove.ms,,,Read only,Nairobi,Woodgrove,KE,,877-555-8659,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,halo35,halo35@woodgrove.ms,,8d59a1f7-3d93-4f4a-aa98-b8712f2542b6,536279f6-15cc-45f2-be2d-61e352b51eef,Hayden Lopez,Hayden,Lopez,8d59a1f7-3d93-4f4a-aa98-b8712f2542b6,,,,"2/21/2024, 7:53:57.000 PM",,,,,Low,"[""NOAM_Users"",""All Woodgrove Users"",""MED Test Group "",""Woodgrove"",""Customer XP Department"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Employees"",""MS_DEMO_USERS_O365"",""Azure ATP contosodemos2 Users"",""Woodgrove Project NEO"",""MS_DEMO_USERS_Woodgrove-SG"",""Woodgrove-FTE"",""Information Workers"",""Graph API Access""]","[""Global Reader""]",Customer XP,1653553573,Senior Customer XP,halo35@woodgrove.ms,,Iris Bannatyne (Corp),1 Microsoft Way,London,Woodgrove,GB,UK,380-555-3815,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
029c55c8-a7ec-418e-b741-de9d24add5fa,anbl77,anbl77@woodgrove.ms,,6ef998cd-d6c6-46ef-91db-fb573fe52f75,536279f6-15cc-45f2-be2d-61e352b51eef,Andrea Blagojevic,Andrea,Blagojevic,6ef998cd-d6c6-46ef-91db-fb573fe52f75,,,,"1/9/2024, 9:43:17.000 PM",,,Low,AtRisk,Low,"[""NOAM_Users"",""All Woodgrove Users"",""Human Resources Department"",""Woodgrove"",""All Users"",""Azure ATP contosodemos2 Viewers"",""Intune Licensed Users"",""Employees"",""MS_DEMO_USERS_O365"",""Azure ATP contosodemos2 Users"",""Woodgrove Project NEO"",""MS_DEMO_USERS_Woodgrove-SG"",""Woodgrove-FTE"",""Information Workers""]","[""Global Reader""]",Human Resources,1452971499,Human Resources I,anbl77@woodgrove.ms,,Cierra Bradford (Corp),1 Microsoft Way,Tokyo,Woodgrove,JP,,977-555-3884,TRUE,FALSE,Member,FALSE,AzureActiveDirectory,AzureActiveDirectory
